8
GC DGC_Template_from_file_na8st 45054
MC MossyCell 527
HC HIPPCell 237
PVBC BasketCell 94
AAC AxoAxonicCell 5
HCC HICAPCell 42
NGFC NGFCell 152
stim NetStim 1
