8 7
GC MC HC BC AAC HCC NGFC
1.5	0.5	0.3	0.3	0.3	0.3	NA      
1.5	0.45	0.9	0.9	0.9	0.9	NA      
0.05	0.5	0.37	0.46	0.46	NA	0.72    
0.25	0.3	0.265	0.22	NA	0.28	NA      
0.3	0.3	NA	NA	NA	NA	NA      
0.04	0.6	NA	0.6	NA	0.72	NA      
0.1	NA	NA	4.2	4.2	4.2	4.5     
86.8    NA      NA      86.8    86.8    86.8    86.8    
